"Pixel","Site","pixel_color","Lat_wgs","Lon_wgs","PFT_Mode","Type","Mode_Percentage","Heterogeneity_PFT","pft","Lat_sin","Lon_sin","pt1_lat","pt1_lon","pt2_lat","pt2_lon","pt3_lat","pt3_lon","pt4_lat","pt4_lon","pt5_lat","pt5_lon"
"43_43","NEON.D15.ONAQ.DP1.00033","#FF0000FF",40.1792118447202,-112.454092932169,"Shrubland","250m",0.747250683060109,2,10,4467729.54945459,-9553691.95982547,40.1800068151579,-112.455133434405,40.1800068151579,-112.453052429932,40.1784168649682,-112.453052429932,40.1784168649682,-112.455133434405,40.1800068151579,-112.455133434405
"43_44","NEON.D15.ONAQ.DP1.00033","#FF4D00FF",40.1792118447202,-112.452011927696,"Shrubland","250m",0.80458193291721,2,10,4467729.54945459,-9553515.16523149,40.1800068151579,-112.453052429932,40.1800068151579,-112.450971425459,40.1784168649682,-112.450971425459,40.1784168649682,-112.453052429932,40.1800068151579,-112.453052429932
"43_45","NEON.D15.ONAQ.DP1.00033","#FF9900FF",40.1792118447202,-112.449930923223,"Shrubland","250m",0.942588797814208,2,10,4467729.54945459,-9553338.37063751,40.1800068151579,-112.450971425459,40.1800068151579,-112.448890420986,40.1784168649682,-112.448890420986,40.1784168649682,-112.450971425459,40.1800068151579,-112.450971425459
"44_45","NEON.D15.ONAQ.DP1.00033","#FFE500FF",40.1776218759018,-112.449930923223,"Shrubland","250m",0.890243484224966,2,10,4467552.75278919,-9553562.23488651,40.1784168649682,-112.450971425459,40.1784168649682,-112.448890420986,40.1768268775211,-112.448890420986,40.1768268775211,-112.450971425459,40.1784168649682,-112.450971425459
"44_44","NEON.D15.ONAQ.DP1.00033","#CCFF00FF",40.1776218759018,-112.452011927696,"Shrubland","250m",0.916645143516366,2,10,4467552.75278919,-9553739.03362333,40.1784168649682,-112.453052429932,40.1784168649682,-112.450971425459,40.1768268775211,-112.450971425459,40.1768268775211,-112.453052429932,40.1784168649682,-112.453052429932
"44_43","NEON.D15.ONAQ.DP1.00033","#80FF00FF",40.1776218759018,-112.454092932169,"Shrubland","250m",1,1,10,4467552.75278919,-9553915.83236016,40.1784168649682,-112.455133434405,40.1784168649682,-112.453052429932,40.1768268775211,-112.453052429932,40.1768268775211,-112.455133434405,40.1784168649682,-112.455133434405
"45_43","NEON.D15.ONAQ.DP1.00033","#33FF00FF",40.1760318698262,-112.454092932169,"Shrubland","250m",1,1,10,4467375.95198096,-9554139.70278331,40.1768268775211,-112.455133434405,40.1768268775211,-112.453052429932,40.1752368528169,-112.453052429932,40.1752368528169,-112.455133434405,40.1768268775211,-112.455133434405
"45_44","NEON.D15.ONAQ.DP1.00033","#00FF19FF",40.1760318698262,-112.452011927696,"Shrubland","250m",1,1,10,4467375.95198096,-9553962.89990368,40.1768268775211,-112.453052429932,40.1768268775211,-112.450971425459,40.1752368528169,-112.450971425459,40.1752368528169,-112.453052429932,40.1768268775211,-112.453052429932
"45_45","NEON.D15.ONAQ.DP1.00033","#00FF66FF",40.1760318698262,-112.449930923223,"Shrubland","250m",1,1,10,4467375.95198096,-9553786.09702406,40.1768268775211,-112.450971425459,40.1768268775211,-112.448890420986,40.1752368528169,-112.448890420986,40.1752368528169,-112.450971425459,40.1768268775211,-112.450971425459
